Kód obce (code),Název obce (location),Počet voličů (registered),Vydané obálky (envelop),Platné hlasy (valid),Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
558079,Mohelnice,51,33,33,2,0,0,3,0,2,6,0,0,0,0,0,0,0,0,1,11,0,1,0,2,0,0,5,0,-
540340,Nebílovy,279,180,179,17,0,0,12,0,1,28,0,0,4,0,0,10,0,0,14,50,1,3,0,1,1,0,36,1,-
558095,Nekvasovy,156,99,97,5,0,0,7,0,3,15,0,0,5,1,1,12,1,0,3,33,0,2,0,0,0,0,8,1,-
558109,Nepomuk,2 849,1 657,1 644,173,4,0,148,2,88,174,49,16,21,1,2,127,0,4,56,555,2,51,0,8,8,2,146,7,-
558117,Netunice,152,97,97,11,0,0,11,3,4,8,0,0,4,0,1,7,0,0,5,28,0,0,0,0,0,0,15,0,-
558125,Neurazy,635,369,369,36,1,0,44,0,20,48,6,2,3,0,0,46,3,0,10,117,0,6,0,0,1,2,23,1,-
542296,Nezdice,178,121,121,6,0,0,15,0,5,22,2,2,1,0,0,5,1,0,6,32,0,8,0,1,0,0,14,1,-
540102,Nezdřev,89,47,46,7,0,0,6,0,4,6,0,0,0,0,0,3,0,0,0,10,0,7,0,0,0,1,2,0,-
540269,Nová Ves,220,157,156,9,1,0,8,0,3,15,3,0,5,0,1,32,0,0,8,48,2,3,0,2,0,0,16,0,-
558176,Nové Mitrovice,281,163,163,13,0,2,6,0,6,18,1,1,0,1,0,8,0,0,12,58,0,10,0,0,0,0,27,0,-
539783,Oplot,263,177,175,15,0,0,20,0,8,32,0,2,6,0,0,14,1,0,5,51,0,2,0,3,1,2,13,0,-
558184,Oselce,293,177,177,11,0,0,12,0,8,18,0,4,4,2,0,8,0,0,6,74,0,6,0,0,1,0,23,0,-
540293,Otěšice,135,87,85,7,1,0,8,0,6,12,2,0,0,0,0,2,0,0,3,31,0,2,0,0,0,0,11,0,-
553565,Polánka,37,27,27,1,0,0,4,0,2,6,0,1,0,0,0,2,0,0,0,7,0,2,0,1,0,0,1,0,-
558231,Prádlo,172,118,117,24,0,0,8,0,6,13,3,0,2,0,1,12,0,1,9,24,0,2,0,0,0,0,12,0,-
540412,Předenice,187,128,128,23,1,0,8,0,5,11,2,1,3,0,1,14,0,1,4,37,0,1,1,2,3,0,10,0,-
530131,Přestavlky,192,114,114,13,0,0,11,0,3,14,2,0,3,0,0,4,0,0,5,37,0,1,0,0,0,1,18,2,-
558249,Přeštice,5 387,3 171,3 141,391,8,2,278,3,101,297,40,22,62,6,7,264,2,2,192,941,4,89,4,21,14,9,366,16,-
558257,Příchovice,858,582,581,74,0,4,54,0,21,37,8,7,1,0,0,60,2,0,45,188,1,18,0,6,3,1,51,0,-
558265,Ptenín,161,102,101,14,0,0,9,0,4,16,0,1,0,0,0,6,1,0,6,31,1,2,0,0,0,0,9,1,-
540421,Radkovice,83,51,50,7,0,0,4,0,1,8,0,0,0,0,0,7,0,0,1,12,0,3,0,4,0,0,3,0,-
558290,Roupov,215,148,148,23,0,0,10,1,2,26,1,1,2,0,0,10,1,0,5,50,1,2,0,3,0,0,9,1,-
558303,Řenče,739,467,466,44,0,0,39,1,17,42,4,8,2,2,0,52,1,0,21,136,2,18,1,2,1,3,66,4,-
558311,Seč,235,156,156,20,2,0,10,1,7,13,1,0,1,1,1,18,0,0,1,58,0,1,0,0,1,0,20,0,-
540692,Sedliště,95,68,68,6,0,0,5,0,3,9,0,0,1,1,0,7,1,0,0,24,0,0,0,1,1,0,9,0,-
539937,Skašov,188,105,102,10,0,0,4,0,2,8,3,0,2,0,0,4,0,0,4,53,2,0,0,0,0,0,10,0,-
558346,Soběkury,493,289,288,27,0,0,10,0,13,52,0,2,1,1,0,18,0,0,4,112,0,8,0,3,3,1,32,1,-
558362,Spálené Poříčí,2 189,1 272,1 267,85,8,0,102,2,202,120,5,11,13,1,2,84,0,1,59,376,1,33,1,6,1,1,152,1,-
540676,Srby,146,97,96,5,0,0,5,0,7,17,1,0,1,0,0,4,0,0,3,31,0,6,0,0,0,0,15,1,-
558389,Stod,2 893,1 533,1 519,153,6,0,133,5,58,132,9,14,21,4,6,175,2,4,48,549,3,20,0,8,6,4,150,9,-
540056,Střelice,119,66,65,10,0,0,7,0,5,7,1,1,3,0,0,6,0,0,1,11,0,2,0,0,0,1,10,0,-
558401,Střížovice,331,224,220,24,0,0,22,1,12,16,2,2,2,0,1,17,0,0,5,84,0,0,0,1,1,0,30,0,-
558435,Štěnovice,1 547,1 051,1 036,157,1,2,73,2,58,58,14,16,17,2,5,115,1,1,72,278,4,33,0,16,3,2,102,4,-
578614,Tojice,83,58,58,2,0,0,8,0,3,2,1,0,1,0,0,3,0,0,0,23,0,0,0,2,0,0,13,0,-
578592,Třebčice,63,44,44,3,0,0,1,3,2,6,2,0,2,0,0,2,0,0,1,13,0,0,1,0,0,0,8,0,-
539929,Týniště,37,29,29,5,0,0,4,0,2,5,0,1,0,0,0,4,0,0,0,2,0,1,0,0,0,0,5,0,-
540528,Únětice,121,69,69,13,0,0,1,0,3,2,3,0,1,0,0,6,0,0,1,26,0,3,0,0,0,0,10,0,-
558486,Útušice,547,367,365,54,0,0,14,0,20,10,3,0,3,2,3,45,0,0,38,127,2,7,0,8,0,0,27,2,-
558494,Ves Touškov,276,124,124,4,2,0,24,0,1,15,5,0,4,0,0,3,0,0,5,45,0,1,0,0,0,0,15,0,-
566691,Vlčí,49,37,37,2,0,0,8,0,0,8,0,1,0,0,0,2,0,0,1,11,0,0,0,2,0,1,1,0,-
540706,Vlčtejn,72,51,51,13,0,0,6,0,2,1,0,0,0,0,0,3,0,0,0,19,0,1,0,0,0,0,6,0,-
558559,Vrčeň,261,157,156,15,0,1,6,0,11,23,1,1,1,0,0,21,1,0,4,39,1,8,0,0,0,0,21,2,-
558567,Vstiš,426,254,253,9,2,0,12,1,21,21,2,1,3,0,0,35,0,0,9,98,1,6,0,0,3,0,27,2,-
558583,Zdemyslice,477,287,285,26,1,0,24,0,27,17,5,5,4,0,1,20,0,0,10,93,0,5,1,1,6,1,37,1,-
558591,Zemětice,237,154,154,18,0,0,20,0,3,14,0,0,1,0,0,6,0,0,2,54,1,11,0,1,1,0,21,1,-
530182,Žákava,358,206,205,13,0,0,27,0,12,23,5,5,0,3,2,19,0,1,9,63,0,6,0,0,0,0,16,1,-
558605,Ždírec,383,258,258,19,0,0,22,0,7,31,2,0,8,0,1,23,1,0,9,102,1,3,0,0,0,0,29,0,-
558630,Žinkovy,735,434,430,39,0,1,57,2,21,60,7,9,5,0,1,41,0,0,12,117,1,15,0,1,1,1,37,2,-
540137,Životice,42,32,32,8,0,0,2,0,1,4,1,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,1,0,-
